日期,开盘价,最高价,最低价,收盘价,成交量(手),成交金额(万元)
2021-01-04,1999.98,2004.99,1983.81,1997.0,43514.0,868692.0
2021-01-05,1990.0,2059.45,1982.46,2059.45,52116.0,1059256.0
2021-01-06,2064.8,2125.0,2036.03,2100.0,47410.0,988259.0
2021-01-07,2097.0,2140.0,2075.0,2140.0,37931.0,799118.0
2021-01-08,2142.0,2150.88,2063.02,2090.0,53862.0,1134520.0
2021-01-11,2090.0,2150.5,2058.6,2099.73,51080.0,1076857.0
2021-01-12,2088.0,2160.9,2085.0,2160.9,41059.0,880056.0
2021-01-13,2164.0,2173.33,2135.0,2164.0,34390.0,741833.0
2021-01-14,2156.0,2163.0,2116.11,2134.0,36152.0,772209.0
2021-01-15,2115.0,2134.35,2029.0,2082.0,59509.0,1237210.0
2021-01-18,2061.06,2091.48,2040.27,2063.0,39144.0,807672.0
2021-01-19,2073.11,2096.3,2006.85,2009.41,46345.0,947928.0
2021-01-20,2008.0,2055.49,1982.5,2040.63,45082.0,912645.0
2021-01-21,2048.0,2090.02,2041.0,2070.0,38310.0,795346.0
2021-01-22,2069.0,2100.0,2060.1,2079.95,29248.0,609026.0
2021-01-25,2083.0,2179.5,2083.0,2175.0,55957.0,1202947.0
2021-01-26,2185.0,2187.0,2125.11,2141.89,31747.0,682017.0
2021-01-27,2141.89,2141.89,2085.0,2089.0,37120.0,780945.0
2021-01-28,2080.0,2109.66,2060.02,2088.0,35129.0,733708.0
2021-01-29,2101.19,2149.48,2090.22,2116.18,33701.0,716618.0
2021-02-01,2130.0,2160.0,2095.0,2109.32,29341.0,621964.0
2021-02-02,2112.22,2149.99,2102.1,2145.0,34582.0,737223.0
2021-02-03,2150.0,2198.27,2140.0,2189.91,38714.0,838405.0
2021-02-04,2191.0,2330.0,2191.0,2320.85,63851.0,1459693.0
2021-02-05,2325.0,2364.6,2291.0,2313.0,39729.0,925357.0
2021-02-08,2337.0,2378.88,2313.0,2368.8,35786.0,842076.0
2021-02-09,2368.8,2456.43,2350.0,2456.43,33297.0,797293.0
2021-02-10,2485.0,2601.2,2485.0,2601.0,61371.0,1567593.0
2021-02-18,2587.98,2627.88,2465.0,2471.0,65912.0,1670414.0
2021-02-19,2451.16,2496.66,2381.6,2460.0,59385.0,1452516.0
2021-02-22,2455.0,2455.0,2278.22,2288.02,78935.0,1849878.0
2021-02-23,2265.14,2344.89,2265.0,2307.0,57455.0,1331611.0
2021-02-24,2307.99,2318.0,2160.5,2189.0,82116.0,1819503.0
2021-02-25,2209.0,2224.5,2121.21,2150.0,59726.0,1298215.0
2021-02-26,2100.0,2179.95,2067.3,2122.78,66525.0,1409702.0
2021-03-01,2179.0,2179.0,2120.0,2158.0,44916.0,968695.0
2021-03-02,2180.0,2180.0,2033.0,2058.0,70765.0,1479670.0
2021-03-03,2040.0,2149.77,2033.0,2140.0,54215.0,1136669.0
2021-03-04,2095.0,2096.0,2010.1,2033.0,65088.0,1329730.0
2021-03-05,2000.0,2095.0,1988.0,2060.11,63779.0,1310032.0
2021-03-08,2074.96,2085.0,1960.0,1960.0,63100.0,1272425.0
2021-03-09,1955.0,2000.0,1900.18,1936.99,82266.0,1610077.0
2021-03-10,1977.0,1999.87,1967.0,1970.01,51172.0,1013691.0
2021-03-11,1975.0,2079.99,1961.48,2048.0,56769.0,1152174.0
2021-03-12,2070.0,2077.0,2002.01,2026.0,40323.0,818159.0
2021-03-15,2050.0,2069.8,1951.15,1975.45,62485.0,1245996.0
2021-03-16,1974.93,2019.99,1965.0,2010.5,34649.0,691860.0
2021-03-17,2000.0,2050.0,1976.01,2030.36,31375.0,635266.0
2021-03-18,2035.0,2086.36,2035.0,2069.7,33865.0,699703.0
2021-03-19,2035.0,2043.0,1992.23,2010.0,35781.0,721152.0
2021-03-22,2000.1,2026.09,1955.55,1989.99,36914.0,732339.0
2021-03-23,1998.88,2008.8,1970.0,1996.0,27446.0,545952.0
2021-03-24,1981.0,2013.0,1981.0,1989.0,29357.0,585785.0
2021-03-25,1970.01,1988.88,1946.8,1971.0,31575.0,621673.0
2021-03-26,1985.0,2022.0,1958.0,2013.0,50016.0,998763.0
2021-03-29,2043.2,2096.35,2026.15,2034.1,56992.0,1174013.0
2021-03-30,2040.0,2086.0,2035.08,2056.05,32627.0,671749.0
2021-03-31,2045.1,2046.02,2000.0,2009.0,37154.0,748909.0
