date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,日期
2020-04-28,1285.31,1299.94,1279.13,1271.88,34661.9,3.13,0.24,1260.49,1234.245,1191.593,30124.29,29339.0,30925.89,0.28,2020-04-28
2020-04-29,1277.8,1288.1,1274.9,1258.0,23444.06,-4.23,-0.33,1266.57,1242.775,1199.788,26006.16,28750.18,29698.87,0.19,2020-04-29
2020-04-30,1271.0,1285.01,1265.7,1258.88,24660.87,-9.2,-0.72,1269.258,1249.635,1207.923,25558.63,29043.49,29271.65,0.2,2020-04-30
2020-05-06,1251.0,1300.0,1300.0,1250.0,35834.81,34.3,2.71,1279.146,1257.035,1215.673,28901.11,28802.41,28803.11,0.29,2020-05-06
2020-05-07,1299.4,1314.99,1312.0,1293.0,27934.74,12.0,0.92,1286.346,1265.505,1224.283,29307.28,29172.02,28818.96,0.22,2020-05-07
2020-05-08,1317.0,1338.0,1314.61,1308.51,29078.68,2.61,0.2,1293.442,1276.966,1232.016,28190.63,29157.46,28098.5,0.23,2020-05-08
2020-05-11,1320.0,1335.0,1323.01,1313.67,23671.19,8.4,0.64,1303.064,1284.817,1240.179,28236.06,27121.11,28070.84,0.19,2020-05-11
2020-05-12,1318.0,1334.99,1333.0,1316.0,19721.81,9.99,0.76,1316.524,1292.891,1248.904,27248.25,26403.44,27916.08,0.16,2020-05-12
2020-05-13,1333.0,1337.99,1335.95,1322.88,22014.31,2.95,0.22,1323.714,1301.43,1257.451,24484.15,26692.63,27626.58,0.18,2020-05-13
2020-05-14,1330.0,1334.88,1326.59,1325.11,18574.92,-9.36,-0.7,1326.632,1306.489,1265.666,22612.18,25959.73,27756.25,0.15,2020-05-14
2020-05-15,1329.0,1333.5,1313.0,1301.88,26398.08,-13.59,-1.02,1326.31,1309.876,1272.061,22076.06,25133.35,27236.18,0.21,2020-05-15
2020-05-18,1306.0,1351.5,1346.21,1305.13,34362.11,33.21,2.53,1330.95,1317.007,1279.891,24214.25,26225.15,27487.67,0.27,2020-05-18
2020-05-19,1364.0,1364.0,1346.11,1338.0,24787.46,-0.1,-0.01,1333.572,1325.048,1287.342,25227.38,26237.81,27640.65,0.2,2020-05-19
2020-05-20,1346.11,1359.18,1351.0,1336.81,21183.4,4.89,0.36,1336.582,1330.148,1293.592,25061.19,24772.67,26787.54,0.17,2020-05-20
2020-05-21,1355.0,1371.96,1366.1,1352.86,23051.58,15.1,1.12,1344.484,1335.558,1300.532,25956.53,24284.35,26728.18,0.18,2020-05-21
2020-05-22,1366.0,1366.1,1328.2,1322.88,34427.46,-37.9,-2.77,1347.524,1336.917,1306.942,27562.4,24819.23,26988.35,0.27,2020-05-22
