Date,Open,High,Low,Close,Volume
2021-01-04,1999.98,2004.99,1983.81,1997.0,43514.0
2021-01-05,1990.0,2059.45,1982.46,2059.45,52116.0
2021-01-06,2064.8,2125.0,2036.03,2100.0,47410.0
2021-01-07,2097.0,2140.0,2075.0,2140.0,37931.0
2021-01-08,2142.0,2150.88,2063.02,2090.0,53862.0
2021-01-11,2090.0,2150.5,2058.6,2099.73,51080.0
2021-01-12,2088.0,2160.9,2085.0,2160.9,41059.0
2021-01-13,2164.0,2173.33,2135.0,2164.0,34390.0
2021-01-14,2156.0,2163.0,2116.11,2134.0,36152.0
2021-01-15,2115.0,2134.35,2029.0,2082.0,59509.0
2021-01-18,2061.06,2091.48,2040.27,2063.0,39144.0
2021-01-19,2073.11,2096.3,2006.85,2009.41,46345.0
2021-01-20,2008.0,2055.49,1982.5,2040.63,45082.0
2021-01-21,2048.0,2090.02,2041.0,2070.0,38310.0
2021-01-22,2069.0,2100.0,2060.1,2079.95,29248.0
2021-01-25,2083.0,2179.5,2083.0,2175.0,55957.0
2021-01-26,2185.0,2187.0,2125.11,2141.89,31747.0
2021-01-27,2141.89,2141.89,2085.0,2089.0,37120.0
2021-01-28,2080.0,2109.66,2060.02,2088.0,35129.0
2021-01-29,2101.19,2149.48,2090.22,2116.18,33701.0
2021-02-01,2130.0,2160.0,2095.0,2109.32,29341.0
2021-02-02,2112.22,2149.99,2102.1,2145.0,34582.0
2021-02-03,2150.0,2198.27,2140.0,2189.91,38714.0
2021-02-04,2191.0,2330.0,2191.0,2320.85,63851.0
2021-02-05,2325.0,2364.6,2291.0,2313.0,39729.0
2021-02-08,2337.0,2378.88,2313.0,2368.8,35786.0
2021-02-09,2368.8,2456.43,2350.0,2456.43,33297.0
2021-02-10,2485.0,2601.2,2485.0,2601.0,61371.0
2021-02-18,2587.98,2627.88,2465.0,2471.0,65912.0
2021-02-19,2451.16,2496.66,2381.6,2460.0,59385.0
2021-02-22,2455.0,2455.0,2278.22,2288.02,78935.0
2021-02-23,2265.14,2344.89,2265.0,2307.0,57455.0
2021-02-24,2307.99,2318.0,2160.5,2189.0,82116.0
2021-02-25,2209.0,2224.5,2121.21,2150.0,59726.0
2021-02-26,2100.0,2179.95,2067.3,2122.78,66525.0
2021-03-01,2179.0,2179.0,2120.0,2158.0,44916.0
