date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,日期
2020-04-28,0.0256623135723795,0.011117978657651196,0.010057664944207342,0.01771659919028349,34661.9,3.13,0.24,1260.49,1234.245,1191.593,30124.29,29339.0,30925.89,0.28,2020-04-28
2020-04-29,0.02004517644242992,0.0023010417985359103,0.006889837489702723,0.006477732793522267,23444.06,-4.23,-0.33,1266.57,1242.775,1199.788,26006.16,28750.18,29698.87,0.19,2020-04-29
2020-04-30,0.014959086897335787,0.0,0.0,0.007190283400809805,24660.87,-9.2,-0.72,1269.258,1249.635,1207.923,25558.63,29043.49,29271.65,0.2,2020-04-30
2020-05-06,0.0,0.011162659080923698,0.025687111510521946,0.0,35834.81,34.3,2.71,1279.146,1257.035,1215.673,28901.11,28802.41,28803.11,0.29,2020-05-06
2020-05-07,0.03620099029155267,0.022325318161847397,0.034673856062308064,0.034817813765182185,27934.74,12.0,0.92,1286.346,1265.505,1224.2830000000001,29307.28,29172.02,28818.96,0.22,2020-05-07
2020-05-08,0.049364986761208096,0.03946026048686768,0.03662847300232147,0.04737651821862347,29078.68,2.61,0.2,1293.442,1276.9660000000001,1232.016,28190.63,29157.46,28098.5,0.23,2020-05-08
2020-05-11,0.051608849795808466,0.037226239323240526,0.04291919418857182,0.0515546558704454,23671.19,8.4,0.64,1303.0639999999999,1284.817,1240.1789999999999,28236.06,27121.11,28070.84,0.19,2020-05-11
2020-05-12,0.050112941106074886,0.03721879258602844,0.05040065902793377,0.05344129554655871,19721.81,9.99,0.76,1316.524,1292.891,1248.904,27248.25,26403.44,27916.08,0.16,2020-05-12
2020-05-13,0.06133225627907672,0.0394528137496556,0.05260990039691455,0.05901214574898794,22014.31,2.95,0.22,1323.714,1301.43,1257.451,24484.15,26692.63,27626.58,0.18,2020-05-13
2020-05-14,0.05908839324447636,0.03713687847669552,0.04560023964652129,0.060817813765182104,18574.92,-9.36,-0.7,1326.632,1306.489,1265.6660000000002,22612.18,25959.73,27756.25,0.15,2020-05-14
2020-05-15,0.05834043889960957,0.03610922874142695,0.03542275144162357,0.04200809716599199,26398.08,-13.59,-1.02,1326.31,1309.876,1272.0610000000001,22076.06,25133.35,27236.18,0.21,2020-05-15
2020-05-18,0.04113748896767341,0.049513355723189885,0.06029356698869168,0.044639676113360414,34362.11,33.21,2.53,1330.95,1317.007,1279.891,24214.25,26225.15,27487.67,0.27,2020-05-18
2020-05-19,0.08451884096994719,0.058821777238303036,0.060218677450760025,0.07125506072874493,24787.46,-0.1,-0.01,1333.5720000000001,1325.0479999999998,1287.3419999999999,25227.38,26237.81,27640.65,0.2,2020-05-19
2020-05-20,0.07113793774028025,0.05523244990207545,0.06388077585561294,0.07029149797570845,21183.4,4.89,0.36,1336.582,1330.148,1293.5919999999999,25061.19,24772.67,26787.54,0.17,2020-05-20
2020-05-21,0.07778725186614609,0.06474938005912712,0.07518909608327706,0.08328744939271247,23051.58,15.1,1.12,1344.484,1335.558,1300.532,25956.53,24284.35,26728.18,0.18,2020-05-21
